n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,objective,eval_metric,random_state,verbosity,Score
168,0.048641102256673854,3,6.438388023348015,0.4448210988525203,0.6040188819174633,0.9650500591918328,0.029657867208873423,0.19176951942304787,reg:squarederror,rmse,42,0,0.43648217475536166
187,0.09746318830777359,5,2.0018025165735693,0.15599842186315357,0.6911527100261066,0.9096210129157734,1.0063904866463609,0.004560595967946156,reg:squarederror,rmse,42,0,0.4387732940464879
150,0.03168007786799006,7,1.1134241908206275,0.277347873780251,0.7648603751509209,0.8457031344822498,1.1615848349422435,1.237806010556568,reg:squarederror,rmse,42,0,0.43783798941415697
184,0.03673686180828374,4,9.85512037144558,0.21618537795103818,0.6674266874574875,0.5156680309718847,1.619861270793038,1.3502364285306365,reg:squarederror,rmse,42,0,0.4492444249815451
108,0.03506523297099021,4,9.205603208987739,0.21305376093981587,0.6556073502463153,0.5016901844124533,1.7167564645408013,1.3721496966901674,reg:squarederror,rmse,42,0,0.43720245110114586
185,0.03667051814001264,3,9.844780271032988,0.2419578289739452,0.6603043201095719,0.5361799785358168,1.533171007314803,1.3582312715064868,reg:squarederror,rmse,42,0,0.45361562856684906
178,0.03796264823161888,3,9.952818499035297,0.16349473584450758,0.6551218194874993,0.5327293958653365,1.5888334469561045,1.0279292952148684,reg:squarederror,rmse,42,0,0.4525531202091437
165,0.03622155704381892,4,9.985805359372886,0.1802602825684071,0.7385682516026812,0.5598481770394516,1.5431370083751914,1.0515576912038933,reg:squarederror,rmse,42,0,0.4541219596413539
164,0.027493941017359854,4,8.646361211566646,0.15770017386097826,0.735276666224468,0.5730486836345666,1.8587602082196968,1.018677558424911,reg:squarederror,rmse,42,0,0.44762808421928585
131,0.03120827579591644,3,9.822280680888232,0.17290161154655267,0.8107395137632275,0.5528974647713354,1.5798080197965878,0.9404150518299021,reg:squarederror,rmse,42,0,0.43784176464774394
156,0.02295156019099542,5,8.253657074614356,0.10766525566375526,0.6232474243360084,0.6017373267474938,1.8970996533031386,1.0217287821040009,reg:squarederror,rmse,42,0,0.4465129128501394
172,0.037012140341244594,3,9.1550173410275,0.08180706460981987,0.7587178025292063,0.6085283186016132,1.5507813443114256,1.9949167938589847,reg:squarederror,rmse,42,0,0.4487391205861785
145,0.026013556448141923,4,8.561536780059836,0.24080487430220196,0.697403100568963,0.527304421949128,1.4305572091388048,1.1600191171201644,reg:squarederror,rmse,42,0,0.4446808125481456
159,0.01938141541278891,4,7.10635465151258,0.19016646015706468,0.6513690349414042,0.6291079623673248,1.6968688614243193,1.732902112228134,reg:squarederror,rmse,42,0,0.4377801510008162
194,0.030778299951011095,3,9.509460679669141,0.17697278511220052,0.8390909240371686,0.703491142512847,1.9921519893119812,0.7318497183607102,reg:squarederror,rmse,42,0,0.4434114820849621
180,0.03763488560834402,5,9.986795616305718,0.23257876386432647,0.6734519092838198,0.5028476207502424,1.6226293633457884,1.3285829256467019,reg:squarederror,rmse,42,0,0.452295376253411
166,0.038749007072258944,5,8.748391046180403,0.24598074347610022,0.7356717990969054,0.5556701686768872,0.8948130484479287,1.2779724143857478,reg:squarederror,rmse,42,0,0.4508797183122214
191,0.032730471218112143,5,9.965325641042524,0.24152262092287374,0.672580168020551,0.5765188951915449,1.8003010240133333,1.4152916397127346,reg:squarederror,rmse,42,0,0.45082194836874684
51,0.05755754173679601,6,7.964158128774786,0.19409089814662073,0.615215758555735,0.5342876179358824,1.6528352815885858,1.687796438375051,reg:squarederror,rmse,42,0,0.4215691813450001
179,0.04637496358868581,7,9.503826875312502,0.09118423240784318,0.7200572798201135,0.7747476049813138,1.2427743875879407,1.1142290812050493,reg:squarederror,rmse,42,0,0.44821142172225875
172,0.02571133092357481,3,9.012792157901417,0.007630718831909744,0.7891422921480239,0.5750807767750771,1.4831581937119576,1.2329389602713063,reg:squarederror,rmse,42,0,0.4417694383137235
195,0.03894675648542613,6,6.1977538442721904,0.22788994097118614,0.5369388096985797,0.7000092026224151,0.7984385557033306,1.6217849139452758,reg:squarederror,rmse,42,0,0.4485307362348713
155,0.03463011315987584,5,9.61087262855757,0.3284972045146416,0.63285647565187,0.6333276188842936,1.0179817774735982,1.8263565047633596,reg:squarederror,rmse,42,0,0.44487658663777124
179,0.059151612802002505,4,7.425076586217719,0.13586535859442617,0.655003278768076,0.5039424297440114,1.4158662893769054,0.9664971918742855,reg:squarederror,rmse,42,0,0.44385065720420613
68,0.012147260955587266,3,8.035699345585313,0.2855815353521243,0.6924271238901363,0.7323005133161613,1.5599543168818657,0.7664881519377311,reg:squarederror,rmse,42,0,0.26603541230705224
170,0.03968064921799552,5,8.848776173922932,0.25909004459234775,0.7462781963311313,0.5554277749146564,0.9066287351288481,1.3135786501128486,reg:squarederror,rmse,42,0,0.4486427377841434
166,0.045756880717292114,5,9.4781322245907,0.23461286575823478,0.7346733277072975,0.5546802126387047,0.7602342667666473,1.2559514923608956,reg:squarederror,rmse,42,0,0.4448296209596753
191,0.03738876927621006,4,8.489483384547784,0.20031824020674976,0.7105088988621984,0.587047683953678,1.2513559475539027,1.4390599791472363,reg:squarederror,rmse,42,0,0.4507783439831957
176,0.02930826956348929,5,9.975185198061672,0.16728535119476703,0.7728234572550778,0.531158615788216,1.7884560498120972,1.1644974397887773,reg:squarederror,rmse,42,0,0.45195518012909053
199,0.0286254022554321,3,9.984282307075313,0.15026675725418523,0.7815259691317251,0.5276185939325779,1.7839484171851394,0.8542177958206594,reg:squarederror,rmse,42,0,0.4469358544384356
177,0.03342537885006026,6,9.22701859394112,0.11359964892662427,0.8243202996193262,0.533739804046542,1.8877402548434148,1.0817203154764934,reg:squarederror,rmse,42,0,0.4519434473930993
177,0.020203697338515816,6,9.370261070207075,0.05695594921085481,0.8116132221680925,0.5369071183082784,1.8586028868288924,1.0625224263808326,reg:squarederror,rmse,42,0,0.4473760418917549
186,0.03364727034203027,6,9.062106944077867,0.11498857912913668,0.8855945546431705,0.5207362684981728,1.9239652276016164,1.1630846518655804,reg:squarederror,rmse,42,0,0.44641095508595835
160,0.024351226374345225,7,9.622650128837698,0.16723681084939296,0.8245155518930458,0.6149281743680213,1.7694856271050101,0.949467100978703,reg:squarederror,rmse,42,0,0.44406684661915274
138,0.029659461264941678,6,9.232925566867333,0.18178418324008688,0.8664366950685856,0.5081061216265423,1.652449745816552,1.1957046243852547,reg:squarederror,rmse,42,0,0.44036639381674486
