n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,objective,eval_metric,randomness,verbosity,Score
156,0.18875186772847286,3,6.287695414758247,3.1118251287516694,0.9427468516445794,0.5827664074170837,1.746821550278488,0.30801326216738745,binary:logistic,logloss,42,0,0.7691988305530306
57,0.034626010512311595,3,6.8073775481886925,3.2825273804647366,0.6984766704264882,0.8170211635532976,0.18535222572775067,1.2496581756696508,binary:logistic,logloss,42,0,0.7568176792865391
51,0.014501358236313882,3,6.182049560002044,0.2515918049832444,0.5559754315152639,0.78481678723705,0.7759896319925577,1.0106078737419506,binary:logistic,logloss,42,0,0.7434439721887822
141,0.024305213906180383,7,4.411994409703093,0.06720150387782953,0.8411683868201372,0.8832847932044673,1.6794790223738576,1.5975033557335518,binary:logistic,logloss,42,0,0.7677136820381791
99,0.021362033105986167,6,9.050880522932403,4.416063403710863,0.7496584835978652,0.5460844610585562,0.1173260798387663,1.6277786241931687,binary:logistic,logloss,42,0,0.7592929268112917
55,0.1697352146039332,7,3.081294031274485,2.1080400943877504,0.9999326558559458,0.6599750913381595,0.3531338300216331,0.17435633659757088,binary:logistic,logloss,42,0,0.7553263887182762
57,0.03006469605166709,3,2.423011568149707,2.624715614563289,0.6143414125539226,0.8976109921996598,0.05194607796437056,1.1966384494635223,binary:logistic,logloss,42,0,0.749393165122964
62,0.02542405301891742,6,7.549219866184285,4.820476224701131,0.9759409220150413,0.7170561554378634,0.25912155466127995,0.3556751222349597,binary:logistic,logloss,42,0,0.7602756553570991
70,0.021930711139185273,3,4.882553421513672,3.305460126022858,0.8880142080392757,0.5289456451954491,1.928983660865883,1.3222644852286591,binary:logistic,logloss,42,0,0.7483981524703338
181,0.07114374760030538,4,9.800462365260566,1.353094457892442,0.7045126436890139,0.5778662846347886,1.8246494852221908,1.891905101121002,binary:logistic,logloss,42,0,0.7696963368793455
185,0.0784850898172344,5,9.97729166664452,1.3070488893521128,0.6584386852510223,0.9855384311848568,1.2664869162108294,1.964421117531199,binary:logistic,logloss,42,0,0.7657334840183772
183,0.15135885469718988,4,7.905822300657825,1.4440474624347117,0.8270610955631714,0.6341281796636853,1.3708665375914797,0.5428439798624062,binary:logistic,logloss,42,0,0.7672198609439107
155,0.2941511714513261,4,1.4183734861391022,3.6780882059197597,0.7502061856516519,0.6058577395182019,1.9631136091153056,0.6275380080720343,binary:logistic,logloss,42,0,0.7627619585779918
164,0.0691017223696644,4,8.81333403437523,1.2847134838442957,0.9100035667162758,0.5838541361010542,1.5624284168580473,0.7618131600131748,binary:logistic,logloss,42,0,0.7706962631747046
194,0.0683606644000161,5,8.979968397268932,1.0275595201131247,0.5012449831203822,0.7010832951381418,1.3994809621693527,0.8058742114450157,binary:logistic,logloss,42,0,0.772171584404098
195,0.04831903629708979,5,8.761457593954683,0.6204222204999553,0.523767094654105,0.7043683246391166,1.3942428612528082,0.7612016630485845,binary:logistic,logloss,42,0,0.7696987937007099
115,0.10571501605997714,8,8.150731043219617,1.892868887746947,0.5943914435185764,0.5070254650978124,0.986054615110217,0.8144612716359138,binary:logistic,logloss,42,0,0.7558300370980027
164,0.047526524692865904,5,7.428790233664527,0.9827085588402519,0.8951094020632867,0.6836046494281718,1.5480288158141076,0.0070327966134982045,binary:logistic,logloss,42,0,0.7716802201311943
200,0.0413564561002797,5,7.457653480245101,0.7619542831395028,0.8099245965324909,0.6798981436752777,1.0276838366884944,0.0036631486777965643,binary:logistic,logloss,42,0,0.7721764980468271
194,0.01386999602089823,6,5.450584525813227,0.6767282303034154,0.7843704005907488,0.7391039164803306,0.6325950483585877,0.034412987358033,binary:logistic,logloss,42,0,0.7647446134191582
140,0.10657455784238386,7,6.686897942523929,2.0065347175954344,0.8266133693282266,0.7914628880735524,1.104904734003382,0.4452881357175827,binary:logistic,logloss,42,0,0.7682050463110827
170,0.048387384798188125,5,7.349275463710317,0.7777745026480847,0.8797674858684148,0.6751779938938627,1.1420697329621172,0.04379674787658074,binary:logistic,logloss,42,0,0.764245878682161
195,0.04185905907998196,5,8.368195716180283,0.9461791370947601,0.78143440311328,0.6802072424226057,1.5205880150634112,0.22719663135253598,binary:logistic,logloss,42,0,0.771181485394197
170,0.063618269436527,5,9.3148529514813,0.3526911547099316,0.9309559110896246,0.6357482758697808,0.9134463994611992,0.0463304952013214,binary:logistic,logloss,42,0,0.7692037441957597
200,0.09280595217023736,6,6.893049799469385,1.8080192193082454,0.8644329773319739,0.7606615684108903,1.1804702198200006,0.9507520722777758,binary:logistic,logloss,42,0,0.7682075031324472
182,0.03663935789727471,4,5.776763115939259,2.3795688577311997,0.8064057032094234,0.8398502097162439,0.5867543478561605,0.5016854697551113,binary:logistic,logloss,42,0,0.771674078077783
140,0.05334190631227679,5,7.46089942392745,1.0168042704410434,0.7221458301565684,0.7196842102701608,1.526303364015516,0.20269158858304787,binary:logistic,logloss,42,0,0.7726666339090486
93,0.05779892955968019,6,3.93676995168327,1.6054074614777591,0.5082400797559682,0.7371541789402226,1.3042648994101618,0.3925002458513196,binary:logistic,logloss,42,0,0.7741517824239
88,0.010148028389773214,6,3.9725920852121366,1.5162628219878005,0.6482415160406575,0.7295195836984218,0.8494195898337624,0.19593814641342722,binary:logistic,logloss,42,0,0.765235977692062
